Namespace(batch_size=128, epochs=100, lr_min=0.0, lr_max=0.1, weight_decay=0.0005, momentum=0.9, gamma=0.0, opt_level='O2', loss_scale='1.0', conv_layer='soc', init_channels=32, activation='maxmin', block_size=1, lln=False, data_dir='./cifar-data', dataset='cifar10', epsilon=36, out_dir='LipConvnet_cifar10_1_soc_32_maxmin_cr0.0', seed=0)
Epoch 	 Seconds 	 LR 	 Train Loss 	 Train Acc 	 Test Loss 	 Test Acc 	 Test Robust (36) 	 Test Robust (72) 	 Test Robust (108) 	 Test Cert
76 	 50.1 	 0.0010 	 0.8329 	 0.7448 	 0.8320 	 0.7350 	 0.5605 	 0.3807 	 0.2353 	 0.3397
77 	 49.3 	 0.0010 	 0.8305 	 0.7434 	 0.8262 	 0.7374 	 0.5649 	 0.3867 	 0.2415 	 0.3423
78 	 51.3 	 0.0010 	 0.8268 	 0.7464 	 0.8245 	 0.7410 	 0.5662 	 0.3862 	 0.2391 	 0.3390
79 	 52.1 	 0.0010 	 0.8252 	 0.7464 	 0.8257 	 0.7370 	 0.5656 	 0.3871 	 0.2420 	 0.3420
80 	 51.4 	 0.0010 	 0.8247 	 0.7465 	 0.8231 	 0.7383 	 0.5637 	 0.3864 	 0.2405 	 0.3406
81 	 50.6 	 0.0010 	 0.8233 	 0.7478 	 0.8241 	 0.7396 	 0.5626 	 0.3836 	 0.2385 	 0.3389
82 	 50.6 	 0.0010 	 0.8227 	 0.7490 	 0.8253 	 0.7394 	 0.5650 	 0.3902 	 0.2463 	 0.3450
83 	 49.9 	 0.0010 	 0.8212 	 0.7484 	 0.8222 	 0.7398 	 0.5671 	 0.3893 	 0.2434 	 0.3437
84 	 51.2 	 0.0010 	 0.8195 	 0.7499 	 0.8231 	 0.7376 	 0.5661 	 0.3882 	 0.2412 	 0.3432
85 	 53.3 	 0.0010 	 0.8190 	 0.7487 	 0.8193 	 0.7396 	 0.5703 	 0.3935 	 0.2421 	 0.3436
86 	 53.7 	 0.0010 	 0.8174 	 0.7505 	 0.8213 	 0.7414 	 0.5691 	 0.3914 	 0.2433 	 0.3447
87 	 53.0 	 0.0010 	 0.8159 	 0.7498 	 0.8202 	 0.7420 	 0.5683 	 0.3899 	 0.2393 	 0.3408
88 	 52.4 	 0.0010 	 0.8151 	 0.7509 	 0.8196 	 0.7415 	 0.5670 	 0.3931 	 0.2446 	 0.3430
89 	 52.9 	 0.0010 	 0.8155 	 0.7511 	 0.8220 	 0.7405 	 0.5671 	 0.3902 	 0.2446 	 0.3432
90 	 55.7 	 0.0010 	 0.8157 	 0.7527 	 0.8196 	 0.7431 	 0.5689 	 0.3917 	 0.2444 	 0.3431
91 	 53.4 	 0.0010 	 0.8142 	 0.7526 	 0.8179 	 0.7399 	 0.5693 	 0.3944 	 0.2494 	 0.3467
92 	 51.1 	 0.0010 	 0.8119 	 0.7516 	 0.8160 	 0.7426 	 0.5715 	 0.3950 	 0.2501 	 0.3461
93 	 49.6 	 0.0010 	 0.8099 	 0.7537 	 0.8171 	 0.7422 	 0.5682 	 0.3897 	 0.2444 	 0.3426
94 	 52.0 	 0.0010 	 0.8112 	 0.7527 	 0.8173 	 0.7455 	 0.5706 	 0.3905 	 0.2464 	 0.3430
95 	 49.7 	 0.0010 	 0.8108 	 0.7525 	 0.8165 	 0.7410 	 0.5715 	 0.3983 	 0.2510 	 0.3491
96 	 49.6 	 0.0010 	 0.8092 	 0.7541 	 0.8159 	 0.7439 	 0.5697 	 0.3921 	 0.2455 	 0.3434
97 	 51.9 	 0.0010 	 0.8108 	 0.7527 	 0.8149 	 0.7434 	 0.5694 	 0.3928 	 0.2456 	 0.3426
98 	 55.9 	 0.0010 	 0.8068 	 0.7546 	 0.8161 	 0.7403 	 0.5685 	 0.3969 	 0.2471 	 0.3463
99 	 53.2 	 0.0010 	 0.8068 	 0.7531 	 0.8145 	 0.7434 	 0.5716 	 0.3945 	 0.2467 	 0.3448
Total train time: 90.7744 minutes
Best Epoch 	 Test Loss 	 Test Acc 	 Test Robust (36) 	 Test Robust (72) 	 Test Robust (108) 	 Mean Cert 	 Test Time
99 	 0.8144 	 0.7436 	 0.5718 	 0.3946 	 0.2469 	 0.3447 	 4.7425
Last Epoch 	 Test Loss 	 Test Acc 	 Test Robust (36) 	 Test Robust (72) 	 Test Robust (108) 	 Mean Cert 	 Test Time
99 	 0.8144 	 0.7436 	 0.5718 	 0.3946 	 0.2469 	 0.3447 	 4.6613
