Namespace(batch_size=128, epochs=100, lr_min=0.0, lr_max=0.1, weight_decay=0.0005, momentum=0.9, gamma=0.0, opt_level='O2', loss_scale='1.0', conv_layer='soc', init_channels=32, activation='maxmin', block_size=1, lln=False, data_dir='./cifar-data', dataset='cifar10', epsilon=36, out_dir='LipConvnet_cifar10_1_soc_32_maxmin_cr0.0', seed=0)
Epoch 	 Seconds 	 LR 	 Train Loss 	 Train Acc 	 Test Loss 	 Test Acc 	 Test Robust (36) 	 Test Robust (72) 	 Test Robust (108) 	 Test Cert
54 	 39.2 	 33.5 	 0.0100 	 0.7296 	 0.7550 	 1.3803 	 0.5358 	 0.2845 	 0.1081 	 0.0278 	 0.1774
55 	 36.8 	 31.2 	 0.0100 	 0.7189 	 0.7574 	 1.3502 	 0.5490 	 0.2938 	 0.1072 	 0.0271 	 0.1768
56 	 39.3 	 33.1 	 0.0100 	 0.7104 	 0.7605 	 1.3617 	 0.5494 	 0.2961 	 0.1094 	 0.0309 	 0.1784
57 	 41.2 	 35.1 	 0.0100 	 0.7051 	 0.7626 	 1.3683 	 0.5416 	 0.2879 	 0.1018 	 0.0253 	 0.1744
58 	 40.6 	 34.2 	 0.0100 	 0.6983 	 0.7654 	 1.3509 	 0.5433 	 0.3018 	 0.1168 	 0.0335 	 0.1844
59 	 41.8 	 35.3 	 0.0100 	 0.6959 	 0.7669 	 1.3137 	 0.5736 	 0.3133 	 0.1222 	 0.0341 	 0.1828
60 	 39.3 	 33.3 	 0.0100 	 0.6929 	 0.7659 	 1.3643 	 0.5419 	 0.2962 	 0.1140 	 0.0292 	 0.1812
61 	 37.9 	 32.2 	 0.0100 	 0.6839 	 0.7715 	 1.3945 	 0.5322 	 0.2800 	 0.1017 	 0.0265 	 0.1749
62 	 41.0 	 34.6 	 0.0100 	 0.6804 	 0.7728 	 1.3848 	 0.5343 	 0.2867 	 0.1079 	 0.0302 	 0.1795
63 	 38.7 	 32.7 	 0.0100 	 0.6783 	 0.7723 	 1.3832 	 0.5382 	 0.2887 	 0.1046 	 0.0231 	 0.1744
64 	 40.3 	 34.8 	 0.0100 	 0.6728 	 0.7737 	 1.3046 	 0.5872 	 0.3139 	 0.1156 	 0.0291 	 0.1772
65 	 36.4 	 30.8 	 0.0100 	 0.6738 	 0.7743 	 1.2958 	 0.5825 	 0.3176 	 0.1241 	 0.0338 	 0.1827
66 	 36.7 	 31.2 	 0.0100 	 0.6707 	 0.7760 	 1.3551 	 0.5576 	 0.2995 	 0.1092 	 0.0304 	 0.1768
67 	 36.4 	 30.7 	 0.0100 	 0.6645 	 0.7788 	 1.3084 	 0.5871 	 0.3194 	 0.1231 	 0.0346 	 0.1822
68 	 39.2 	 32.9 	 0.0100 	 0.6697 	 0.7749 	 1.3167 	 0.5571 	 0.3031 	 0.1176 	 0.0331 	 0.1821
69 	 40.2 	 33.6 	 0.0100 	 0.6650 	 0.7776 	 1.3094 	 0.5809 	 0.3211 	 0.1239 	 0.0332 	 0.1835
70 	 42.1 	 35.1 	 0.0100 	 0.6589 	 0.7803 	 1.3636 	 0.5432 	 0.2928 	 0.1121 	 0.0286 	 0.1798
71 	 39.1 	 32.9 	 0.0100 	 0.6576 	 0.7801 	 1.3836 	 0.5287 	 0.2926 	 0.1136 	 0.0286 	 0.1822
72 	 43.0 	 37.2 	 0.0100 	 0.6567 	 0.7822 	 1.3044 	 0.5765 	 0.3132 	 0.1222 	 0.0344 	 0.1816
73 	 35.0 	 29.9 	 0.0100 	 0.6522 	 0.7805 	 1.3578 	 0.5494 	 0.3051 	 0.1239 	 0.0358 	 0.1872
74 	 35.9 	 30.6 	 0.0010 	 0.6529 	 0.7823 	 1.3658 	 0.5549 	 0.3033 	 0.1162 	 0.0309 	 0.1817
75 	 35.6 	 30.2 	 0.0010 	 0.6064 	 0.8027 	 1.3286 	 0.5691 	 0.3109 	 0.1195 	 0.0316 	 0.1812
76 	 34.8 	 29.5 	 0.0010 	 0.5869 	 0.8084 	 1.3489 	 0.5544 	 0.3043 	 0.1183 	 0.0314 	 0.1830
77 	 37.7 	 31.9 	 0.0010 	 0.5794 	 0.8117 	 1.3414 	 0.5622 	 0.3071 	 0.1186 	 0.0316 	 0.1825
78 	 37.1 	 31.5 	 0.0010 	 0.5757 	 0.8136 	 1.3468 	 0.5528 	 0.3009 	 0.1159 	 0.0321 	 0.1823
79 	 38.9 	 33.2 	 0.0010 	 0.5721 	 0.8151 	 1.3384 	 0.5641 	 0.3063 	 0.1171 	 0.0297 	 0.1806
80 	 39.7 	 33.3 	 0.0010 	 0.5678 	 0.8152 	 1.3579 	 0.5517 	 0.2991 	 0.1141 	 0.0287 	 0.1803
81 	 38.8 	 33.6 	 0.0010 	 0.5646 	 0.8172 	 1.3552 	 0.5514 	 0.2947 	 0.1137 	 0.0281 	 0.1798
82 	 37.3 	 31.9 	 0.0010 	 0.5640 	 0.8169 	 1.3396 	 0.5644 	 0.3077 	 0.1175 	 0.0316 	 0.1819
83 	 36.4 	 30.9 	 0.0010 	 0.5611 	 0.8199 	 1.3422 	 0.5593 	 0.3040 	 0.1201 	 0.0341 	 0.1832
84 	 38.3 	 32.5 	 0.0010 	 0.5582 	 0.8197 	 1.3513 	 0.5585 	 0.3008 	 0.1143 	 0.0288 	 0.1789
85 	 40.6 	 34.7 	 0.0010 	 0.5586 	 0.8205 	 1.3486 	 0.5556 	 0.3019 	 0.1162 	 0.0305 	 0.1813
86 	 37.3 	 31.5 	 0.0010 	 0.5531 	 0.8231 	 1.3391 	 0.5628 	 0.3088 	 0.1203 	 0.0311 	 0.1822
87 	 39.4 	 32.7 	 0.0010 	 0.5564 	 0.8206 	 1.3708 	 0.5447 	 0.2937 	 0.1105 	 0.0273 	 0.1786
88 	 39.3 	 33.0 	 0.0010 	 0.5523 	 0.8214 	 1.3575 	 0.5557 	 0.3007 	 0.1133 	 0.0268 	 0.1779
89 	 39.0 	 33.1 	 0.0010 	 0.5515 	 0.8220 	 1.3578 	 0.5560 	 0.2997 	 0.1123 	 0.0270 	 0.1781
90 	 37.2 	 31.7 	 0.0010 	 0.5517 	 0.8229 	 1.3521 	 0.5547 	 0.2981 	 0.1147 	 0.0276 	 0.1794
91 	 37.4 	 31.4 	 0.0010 	 0.5496 	 0.8249 	 1.3576 	 0.5548 	 0.2996 	 0.1132 	 0.0291 	 0.1801
92 	 39.9 	 33.9 	 0.0010 	 0.5463 	 0.8235 	 1.3321 	 0.5682 	 0.3074 	 0.1192 	 0.0306 	 0.1805
93 	 37.4 	 31.9 	 0.0010 	 0.5460 	 0.8256 	 1.3742 	 0.5471 	 0.2909 	 0.1048 	 0.0247 	 0.1750
94 	 38.4 	 32.7 	 0.0010 	 0.5436 	 0.8274 	 1.3649 	 0.5484 	 0.2941 	 0.1107 	 0.0274 	 0.1793
95 	 38.5 	 32.1 	 0.0010 	 0.5439 	 0.8260 	 1.3496 	 0.5587 	 0.3032 	 0.1179 	 0.0307 	 0.1818
96 	 39.0 	 33.3 	 0.0010 	 0.5430 	 0.8263 	 1.3701 	 0.5486 	 0.2924 	 0.1090 	 0.0267 	 0.1763
97 	 40.0 	 34.1 	 0.0010 	 0.5417 	 0.8267 	 1.3659 	 0.5516 	 0.2944 	 0.1097 	 0.0266 	 0.1760
98 	 39.1 	 33.5 	 0.0010 	 0.5392 	 0.8293 	 1.3595 	 0.5529 	 0.2972 	 0.1134 	 0.0280 	 0.1788
99 	 37.3 	 31.6 	 0.0010 	 0.5366 	 0.8277 	 1.3715 	 0.5490 	 0.2933 	 0.1121 	 0.0275 	 0.1775
Total train time: 62.7891 minutes
Best Epoch 	 Test Loss 	 Test Acc 	 Test Robust (36) 	 Test Robust (72) 	 Test Robust (108) 	 Mean Cert 	 Test Time
69 	 1.3094 	 0.5808 	 0.3210 	 0.1242 	 0.0334 	 0.1836 	 12.3968
Last Epoch 	 Test Loss 	 Test Acc 	 Test Robust (36) 	 Test Robust (72) 	 Test Robust (108) 	 Mean Cert 	 Test Time
99 	 1.3716 	 0.5489 	 0.2932 	 0.1123 	 0.0273 	 0.1775 	 11.5724
